Defense #, RE, NT, LE, ROLB, RILB, LILB, LOLB, RCB, LCB, FS, SS,
Defense: 29,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEF9: 25%CPUTeamJumpsTo: 56% m2m-HB; // m2m-TE; // ; PassRush; ,BC61: 63%CPUTeamJumpsTo:56% m2m-TE; // m2m-HB; // F5-Pause(5A C8); PassRush ,B4EE: 56%CPUTeamJumpsTo:[56%Jump B9D8; m2m-FB; 56%Jump B9DD; m2m-WR1; 56%Jump B9E2; m2m-WR2; 56%Jump B9CE; m2m-TE; 56%Jump B9D3; m2m-HB; // Circular Randoms]// F4-Pause(3C); F5-Pause(1E 8C); PassRush ,BD03: 25%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 38% m2m-WR2; // // F4-Pause(8C); PassRush; ,BC56: 88%CPUTeamJumpsTo:56% m2m-FB; // m2m-WR1; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B00C: 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B8E9: 75%CPUTeamJumpsTo:56% m2m-HB; // ; m2m-WR1; // 56%  56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // F4-Pause(14); F4-Pause(14); F5-Pause(50 82); PassRush ,B78F: 69%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(14); F5-Pause(64 96); PassRush ,
Defense: 2A,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEF9: 25%CPUTeamJumpsTo: 56% m2m-HB; // m2m-TE; // ; PassRush; ,BC61: 63%CPUTeamJumpsTo:56% m2m-TE; // m2m-HB; // F5-Pause(5A C8); PassRush ,B4EE: 56%CPUTeamJumpsTo:[56%Jump B9D8; m2m-FB; 56%Jump B9DD; m2m-WR1; 56%Jump B9E2; m2m-WR2; 56%Jump B9CE; m2m-TE; 56%Jump B9D3; m2m-HB; // Circular Randoms]// F4-Pause(3C); F5-Pause(1E 8C); PassRush ,BD03: 25%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 38% m2m-WR2; // // F4-Pause(8C); PassRush; ,BC06: 38% Motion(64); MotionTo-WR1; m2m-WR1; // 56% 06% m2m-TE; // F4-Pause(1E); m2m-TE; // 56%  m2m-HB; // m2m-FB; ,B34D: 56% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,B8E9: 75%CPUTeamJumpsTo:56% m2m-HB; // ; m2m-WR1; // 56%  56% F4-Pause(00); // F4-Pause(14); F5-Pause(01 8C); // F4-Pause(14); F4-Pause(14); F5-Pause(50 82); PassRush ,B78F: 69%CPUTeamJumpsTo:56% m2m-WR1; // m2m-WR2; // F4-Pause(14); F5-Pause(64 96); PassRush ,
Defense: 2B,BEBB: PassRush; ,BEC8: PassRush; ,BED2: PassRush; ,BEF9: 25%CPUTeamJumpsTo: 56% m2m-HB; // m2m-TE; // ; PassRush; ,B521: 56% 63%CPUTeamJumpsTo:56% m2m-TE; // m2m-HB; // F5-Pause(5A C8); PassRush // 11-m2m-HB; ; m2m-HB; ,B4EE: 56%CPUTeamJumpsTo:[56%Jump B9D8; m2m-FB; 56%Jump B9DD; m2m-WR1; 56%Jump B9E2; m2m-WR2; 56%Jump B9CE; m2m-TE; 56%Jump B9D3; m2m-HB; // Circular Randoms]// F4-Pause(3C); F5-Pause(1E 8C); PassRush ,BD03: 25%CPUTeamJumpsTo:31% m2m-FB; // 38% m2m-WR1; // 38% m2m-WR2; // // F4-Pause(8C); PassRush; ,BC06: 38% Motion(64); MotionTo-WR1; m2m-WR1; // 56% 06% m2m-TE; // F4-Pause(1E); m2m-TE; // 56%  m2m-HB; // m2m-FB; ,B34D: 56% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(14); F5-Pause(3C 78); PassRush ,BC29: 44% 12-m2m-FB; ; m2m-FB; // 15-m2m-TE; ; m2m-TE; ,BC33: 56% 06% m2m-WR2; // F4-Pause(1E); m2m-WR2; // 13-m2m-WR1; ; m2m-WR1; ,
Defense: 50,A19B: F3-Pause(0A); PassRush; ,A1A7: F3-Pause(0A); PassRush; ,A1B3: PassRush; ,A1BD: F4-Pause(19); PassRush ,A83C: 69%  PassRush // PassRush ,A1D8: F4-Pause(0A); PassRush ,A1ED: PassRush; ,ADBB: F4-Pause(00); ,A1FD: F4-Pause(50); PassRush ,A7DE: 38%  F4-Pause(00); // PassRush ,A216: 88%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(78); PassRush ,
Defense: 51,A19B: F3-Pause(0A); PassRush; ,A1A7: F3-Pause(0A); PassRush; ,A1B3: PassRush; ,A888: 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A7CE: PassRush ,A7B3: F4-Pause(28); Mirror Ball Carrier; ,A1ED: PassRush; ,A846: 44% F4-Pause(00); // 56%  PassRush // Boost-MS(04); PassRush ,A1FD: F4-Pause(50); PassRush ,A853: 24%  PassRush // PassRush ,A216: 88%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(78); PassRush ,
Defense: 52,A19B: F3-Pause(0A); PassRush; ,A1A7: F3-Pause(0A); PassRush; ,A830: 63%  PassRush; // Boost-HP(20); PassRush; ,A888: 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A85D: 38%  PassRush // PassRush ,A867: 38%  F4-Pause(28); Mirror Ball Carrier; // Mirror Ball Carrier; ,A1ED: PassRush; ,A826: 24%  PassRush // Boost-MS(04); PassRush ,A871: 56%  F5-Pause(01 28); PassRush // F5-Pause(50 78); PassRush ,A853: 24%  PassRush // PassRush ,A87E: 25% 88%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(78); PassRush // F3-Pause(01); FaceDirection(00); F5-Pause(01 28); PassRush ,
Defense: 53,A704: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A714: Boost-RS(0F); Boost-MS(30); Boost-HP(20); F3-Pause(28); PassRush; ,A723: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A733: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A743: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A753: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A763: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A773: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A783: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A793: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A7A3: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,
Defense: 54,A110: PassRush; ,A243: PassRush; ,A226: PassRush; ,A8AA: 56%  PassRush; // 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A141: PassRush; ,A24A: PassRush; ,A254: PassRush; ,A264: PassRush ,A271: PassRush ,A8B4: 81%  PassRush // F5-Pause(01 14); PassRush ,A291: 24%  F4-Pause(00); // 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(00); ,
Defense: 55,A110: PassRush; ,A243: PassRush; ,A226: PassRush; ,A888: 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A141: PassRush; ,A24A: PassRush; ,A254: PassRush; ,A8BE: F3-Pause(1E); Mirror Ball Carrier; ,A8FE: 56% Mirror Ball Carrier; // ; F4-Pause(14); CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // F4-Pause(14); PassRush; ,A284: F5-Pause(01 14); PassRush ,A89C: 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(00); ,
Defense: 56,A110: PassRush; ,A243: PassRush; ,A226: PassRush; ,A8E8: Mirror Ball Carrier; ,A141: PassRush; ,A24A: PassRush; ,A254: PassRush; ,A8BE: F3-Pause(1E); Mirror Ball Carrier; ,A8EF: F4-Pause(14); CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // F4-Pause(14); PassRush; ,A284: F5-Pause(01 14); PassRush ,ADD4: F4-Pause(00); ,
Defense: 57,A110: PassRush; ,A907: 25%  PassRush; // Boost-RS(0F); Boost-MS(30); Boost-HP(20); F3-Pause(28); PassRush; ,A226: PassRush; ,A8E8: Mirror Ball Carrier; ,A911: 25%  PassRush; // Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A91B: 25%  PassRush; // F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A927: 25%  PassRush; // F3-Pause(28); Boost-HP(30); Boost-RP(08); Boost-MS(08); ; PassRush ,A773: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A783: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A793: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A7A3: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,
Defense: 58,A110: PassRush; ,A11D: PassRush; ,A12A: PassRush; ,BD19: 44%  PassRush // 63%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A141: PassRush; ,A14B: PassRush; ,A15B: F4-Pause(14); F4-Pause(00); ,A167: F3-Pause(0A); PassRush ,A176: F3-Pause(0A); F3-Pause(00); ,A95F: 69%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // 24% F3-Pause(64); PassRush // 50%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // 31%  PassRush // PassRush ,A96D: CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // 24% F4-Pause(1E); F3-Pause(00); // F5-Pause(32 5A); F4-Pause(14); PassRush; ,
Defense: 59,A110: PassRush; ,A11D: PassRush; ,A12A: PassRush; ,A888: 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A8CA: 56%  PassRush; // Mirror Ball Carrier; ,A14B: PassRush; ,A98B: 56% F4-Pause(00); // F4-Pause(14); F4-Pause(00); ,A97B: 56%  PassRush // PassRush ,A176: F3-Pause(0A); F3-Pause(00); ,A95F: 69%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // 24% F3-Pause(64); PassRush // 50%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // 31%  PassRush // PassRush ,A96D: CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // 24% F4-Pause(1E); F3-Pause(00); // F5-Pause(32 5A); F4-Pause(14); PassRush; ,
Defense: 5A,A110: PassRush; ,A11D: PassRush; ,A12A: PassRush; ,A9D1: 44% 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush // F4-Pause(00); ,A141: PassRush; ,A99A: F3-Pause(14); 69%  PassRush; // Mirror Ball Carrier; ,A9A9: F5-Pause(14 5A); PassRush; ,A97B: 56%  PassRush // PassRush ,A9B3: 38% F3-Pause(0A); F3-Pause(00); // F5-Pause(14 64); PassRush; ,A933: 50%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // 31%  PassRush // PassRush ,A9C0: 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // 56%  F5-Pause(32 5A); F4-Pause(14); PassRush; // F5-Pause(14 82); PassRush ,
Defense: 5B,AA11: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,AA1A: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(20); F3-Pause(28); PassRush; ,AA23: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,AA2C: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,AA35: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,AA3E: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A9A9: F5-Pause(14 5A); PassRush; ,A773: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A783: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A793: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A7A3: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,
Defense: 5C,A29B: PassRush; ,A2A5: PassRush; ,A226: PassRush; ,A2B2: PassRush; ,A2BF: PassRush; ,A2CC: 56%  F4-Pause(00); // F3-Pause(3C); F4-Pause(00); ,A2E1: 31%  F4-Pause(14); PassRush // 63%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // F4-Pause(14); PassRush ,A2F7: F4-Pause(14); F4-Pause(00); ,A300: PassRush ,A30A: 56% F4-Pause(0A); F4-Pause(00); // CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // F4-Pause(0A); F4-Pause(00); ,A31D: 56% F4-Pause(00); // F4-Pause(00); ,
Defense: 5D,A29B: PassRush; ,A2A5: PassRush; ,A226: PassRush; ,A2B2: PassRush; ,A2BF: PassRush; ,A9DE: 31% F3-Pause(3C); F4-Pause(00); // F3-Pause(14); 56%  PassRush // F4-Pause(00); ,A9F0: 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A2F7: F4-Pause(14); F4-Pause(00); ,A300: PassRush ,AA83: 44% 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F5-Pause(0A 46); PassRush; // Mirror Ball Carrier; ,AA04: PassRush ,
Defense: 5E,A29B: PassRush; ,A2A5: PassRush; ,A226: PassRush; ,A2B2: PassRush; ,A2BF: PassRush; ,AA50: Mirror Ball Carrier; ,AA7C: PassRush ,AA57: PassRush; ,AA61: 56%  PassRush // PassRush ,AA6B: 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F5-Pause(0A 46); PassRush; ,AA04: PassRush ,
Defense: 5F,AA11: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,AA1A: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(20); F3-Pause(28); PassRush; ,AA23: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,AA2C: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,AA35: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,AA3E: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A9A9: F5-Pause(14 5A); PassRush; ,A773: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A783: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A793: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A7A3: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,
Defense: 60,A29B: PassRush; ,A2A5: PassRush; ,A32A: PassRush; ,A334: PassRush; ,A2BF: PassRush; ,A341: 56% F4-Pause(3C); F4-Pause(00); // F4-Pause(14); F4-Pause(00); ,A35B: 56%  PassRush; // 63%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush; ,AB93: 31%  F4-Pause(00); // CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // F4-Pause(00); ,A300: PassRush ,A38A: 24%  F4-Pause(00); // 75%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(00); ,A39B: F4-Pause(14); F4-Pause(00); ,
Defense: 61,A29B: PassRush; ,A2A5: PassRush; ,A32A: PassRush; ,A334: PassRush; ,A2BF: PassRush; ,A37B: 63% 56% F4-Pause(3C); F4-Pause(00); // F4-Pause(14); F4-Pause(00); // F4-Pause(14); PassRush ,ACCB: 44% F3-Pause(1E); PassRush; // 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // F4-Pause(1E); PassRush ,AB93: 31%  F4-Pause(00); // CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // F4-Pause(00); ,A300: PassRush ,AD6C: 56% F4-Pause(00); // 56%  24%  F4-Pause(00); // 75%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(00); // F4-Pause(00); ,AD3A: 56% F4-Pause(14); F4-Pause(00); // PassRush ,
Defense: 62,A29B: PassRush; ,A2A5: PassRush; ,A32A: PassRush; ,A334: PassRush; ,A2BF: PassRush; ,AAE0: 44% 63% 56% F4-Pause(3C); F4-Pause(00); // F4-Pause(14); F4-Pause(00); // F4-Pause(14); PassRush // Mirror Ball Carrier; ,ACE4: 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // F4-Pause(1E); PassRush ,A36F: F4-Pause(0A); F4-Pause(00); ,A300: PassRush ,AA6B: 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F5-Pause(0A 46); PassRush; ,AD3A: 56% F4-Pause(14); F4-Pause(00); // PassRush ,
Defense: 63,A704: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,AA1A: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(20); F3-Pause(28); PassRush; ,AA23: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A733: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A743: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,AA3E: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A9A9: F5-Pause(14 5A); PassRush; ,A773: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A783: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A793: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A7A3: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,
Defense: 64,A110: PassRush; ,A3A7: PassRush; ,A501: PassRush; ,A1BD: F4-Pause(19); PassRush ,A50B: F4-Pause(28); PassRush; ,A3C0: PassRush; ,A51A: PassRush; ,A264: PassRush ,A271: PassRush ,A8B4: 81%  PassRush // F5-Pause(01 14); PassRush ,A291: 24%  F4-Pause(00); // 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(00); ,
Defense: 65,A110: PassRush; ,A3A7: PassRush; ,A501: PassRush; ,AB32: 56%  F4-Pause(19); PassRush // 63%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // F4-Pause(3C); PassRush ,AAF4: 31%  F4-Pause(28); PassRush; // F4-Pause(00); ,AB4F: 56%  PassRush; // 56%  F4-Pause(00); // F4-Pause(32); PassRush ,A51A: PassRush; ,AB01: 31%  PassRush // F4-Pause(00); ,AB11: 56% F4-Pause(14); CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // F4-Pause(14); PassRush; // F4-Pause(00); ,AB48: Mirror Ball Carrier; ,AB21: CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // 56% 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(00); // F4-Pause(00); ,
Defense: 66,A110: PassRush; ,A3A7: PassRush; ,A501: PassRush; ,AB6A: 63%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // F4-Pause(3C); PassRush ,AB71: Mirror Ball Carrier; ,AB7B: F4-Pause(32); PassRush ,A51A: PassRush; ,AB82: PassRush ,AB11: 56% F4-Pause(14); CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // F4-Pause(14); PassRush; // F4-Pause(00); ,AB48: Mirror Ball Carrier; ,AB21: CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // 56% 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(00); // F4-Pause(00); ,
Defense: 67,A704: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,AA1A: F3-Pause(1E); Boost-RS(0F); Boost-MS(30); Boost-HP(20); F3-Pause(28); PassRush; ,A723: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A733: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A743: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,A753: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush; ,AB8C: Boost-HP(30); Boost-RP(08); Boost-MS(08); ; PassRush ,A773: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A783: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A793: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,A7A3: Boost-RS(0F); Boost-MS(30); Boost-HP(30); PassRush ,
Defense: 68,A29B: PassRush; ,A243: PassRush; ,BED2: PassRush; ,A3D4: PassRush; ,A3E1: F3-Pause(14); F3-Pause(5A); PassRush ,A3EF: F4-Pause(3C); PassRush; ,BF03: PassRush; ,AB93: 31%  F4-Pause(00); // CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // F4-Pause(00); ,A300: PassRush ,A38A: 24%  F4-Pause(00); // 75%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(00); ,A39B: F4-Pause(14); F4-Pause(00); ,
Defense: 69,A29B: PassRush; ,A243: PassRush; ,BED2: PassRush; ,A3D4: PassRush; ,A3E1: F3-Pause(14); F3-Pause(5A); PassRush ,ABA4: 31% F4-Pause(3C); PassRush; // F4-Pause(3C); PassRush ,A9F0: 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,AB93: 31%  F4-Pause(00); // CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // F4-Pause(00); ,A300: PassRush ,AA83: 44% 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F5-Pause(0A 46); PassRush; // Mirror Ball Carrier; ,AA04: PassRush ,
Defense: 6A,A29B: PassRush; ,A243: PassRush; ,BED2: PassRush; ,A3D4: PassRush; ,ABB3: 25% F3-Pause(14); F3-Pause(5A); PassRush // F5-Pause(0A 32); PassRush ,AAE0: 44% 63% 56% F4-Pause(3C); F4-Pause(00); // F4-Pause(14); F4-Pause(00); // F4-Pause(14); PassRush // Mirror Ball Carrier; ,A9A9: F5-Pause(14 5A); PassRush; ,ADBB: F4-Pause(00); ,A300: PassRush ,AA8D: 56%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // 31%  F4-Pause(00); // F3-Pause(50); PassRush ,AAA6: Mirror Ball Carrier; ,
Defense: 6B,A110: PassRush; ,A3A7: PassRush; ,A32A: PassRush; ,A1BD: F4-Pause(19); PassRush ,A3B4: F3-Pause(3C); PassRush; ,A3C0: PassRush; ,A3CA: PassRush; ,ADBB: F4-Pause(00); ,A1FD: F4-Pause(50); PassRush ,A7DE: 38%  F4-Pause(00); // PassRush ,A216: 88%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(78); PassRush ,
Defense: 6C,A110: PassRush; ,A3A7: PassRush; ,A32A: PassRush; ,A888: 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A7CE: PassRush ,A7B3: F4-Pause(28); Mirror Ball Carrier; ,A3CA: PassRush; ,A846: 44% F4-Pause(00); // 56%  PassRush // Boost-MS(04); PassRush ,A1FD: F4-Pause(50); PassRush ,A853: 24%  PassRush // PassRush ,A216: 88%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(78); PassRush ,
Defense: 6D,A110: PassRush; ,A3A7: PassRush; ,A32A: PassRush; ,A888: 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A85D: 38%  PassRush // PassRush ,A867: 38%  F4-Pause(28); Mirror Ball Carrier; // Mirror Ball Carrier; ,A3CA: PassRush; ,A826: 24%  PassRush // Boost-MS(04); PassRush ,A871: 56%  F5-Pause(01 28); PassRush // F5-Pause(50 78); PassRush ,A209: PassRush ,A87E: 25% 88%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(78); PassRush // F3-Pause(01); FaceDirection(00); F5-Pause(01 28); PassRush ,
Defense: 6E,A110: PassRush; ,A11D: PassRush; ,A12A: PassRush; ,BD19: 44%  PassRush // 63%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A141: PassRush; ,A14B: PassRush; ,ADB4: F4-Pause(00); ,ADBB: F4-Pause(00); ,ADC2: 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(00); ,ADCD: F4-Pause(00); ,ADD4: F4-Pause(00); ,
Defense: 6F,A110: PassRush; ,A11D: PassRush; ,A12A: PassRush; ,BD19: 44%  PassRush // 63%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A141: PassRush; ,A14B: PassRush; ,ABC0: 56% F4-Pause(00); // PassRush ,ABCD: F5-Pause(0A 5A); 56%  PassRush // PassRush ,ABE3: F5-Pause(0A 5A); 56%  PassRush // PassRush ,ABF9: F5-Pause(0A 5A); 56% 56%  PassRush // PassRush // CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // 56%  PassRush // PassRush ,AC16: F5-Pause(0A 5A); 56% 56%  PassRush // PassRush // 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // 56%  PassRush // PassRush ,
Defense: 70,A110: PassRush; ,A11D: PassRush; ,A12A: PassRush; ,BD19: 44%  PassRush // 63%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A141: PassRush; ,A14B: PassRush; ,A15B: F4-Pause(14); F4-Pause(00); ,AC33: 31% 56%  PassRush // PassRush // PassRush ,A176: F3-Pause(0A); F3-Pause(00); ,AC3D: 31% 56% 56%  PassRush // PassRush // CPUTeamJumpsTo AAD8-01:Boost-HP(30); ; PassRush // 56%  PassRush // PassRush // PassRush ,AC47: 31% 56% 56%  PassRush // PassRush // 81%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // 56%  PassRush // PassRush // PassRush ,
Defense: 71,A29B: PassRush; ,A2A5: PassRush; ,A3FB: PassRush; ,A2B2: PassRush; ,A2BF: PassRush; ,A14B: PassRush; ,A2E1: 31%  F4-Pause(14); PassRush // 63%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // F4-Pause(14); PassRush ,A2F7: F4-Pause(14); F4-Pause(00); ,ADC2: 81%CPUTeamJumpsTo:56% m2m-WR2; // m2m-TE; // F4-Pause(00); ,A38A: 24%  F4-Pause(00); // 75%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(00); ,AD62: F4-Pause(00); ,
Defense: 72,A29B: PassRush; ,A2A5: PassRush; ,A3FB: PassRush; ,A2B2: PassRush; ,A2BF: PassRush; ,A9DE: 31% F3-Pause(3C); F4-Pause(00); // F3-Pause(14); 56%  PassRush // F4-Pause(00); ,A9F0: 38%CPUTeamJumpsTo:Boost-HP(30); ; Mirror Ball Carrier; // PassRush ,A2F7: F4-Pause(14); F4-Pause(00); ,A300: PassRush ,AD6C: 56% F4-Pause(00); // 56%  24%  F4-Pause(00); // 75%CPUTeamJumpsTo:Boost-HP(30); ; PassRush // F4-Pause(00); // F4-Pause(00); ,A39B: F4-Pause(14); F4-Pause(00); ,
